Year,Month,Temperature,Precipitation
1897,2,5.1,1.9
1897,3,8.8,142.9
1897,4,11,127.9
1897,5,14.8,141.2
1897,6,20.3,123
1897,7,21.3,150.1
1897,8,19.3,166.1
1897,9,15.5,345.3
1897,10,10.9,95
1897,11,6,15.2
1897,12,2.5,79.7
1898,1,2.8,53.1
1898,2,4,63.3
1898,3,6.2,228.8
1898,4,11,245.3
1898,5,13.8,224.6
1898,6,17.2,276.2
1898,7,20.2,49.2
1898,8,21.7,33.6
1898,9,19.5,30
1898,10,12.7,249.6
1898,11,9.8,179.2
1898,12,3.7,2
1899,1,4.7,63.2
1899,2,4.4,10.5
1899,3,7.4,30
1899,4,10.8,161.2
1899,5,15.1,112.6
1899,6,18.5,132.2
1899,7,21.1,79.6
1899,8,21,99
1899,9,17.1,155.5
1899,10,12,21.8
1899,11,7.3,13.9
1899,12,2.4,70.8
1900,1,3.8,88.7
1900,2,4.7,138.1
1900,3,5.2,148.3
1900,4,11,54.6
1900,5,14.4,243.5
1900,6,19.5,54.1
1900,7,22,88.7
1900,8,18.7,535.7
1900,9,18,156.2
1900,10,12.6,57.4
1900,11,7.6,323.8
1900,12,3.7,25.4
1901,1,0.9,0.3
1901,2,-1.3,36.7
1901,3,4.9,274.8
1901,4,10.8,187
1901,5,14.9,65.4
1901,6,20.4,215.9
1901,7,20.3,350.3
1901,8,20.6,92.7
1901,9,17,124
1901,10,11.6,246.9
1901,11,6,27.6
1901,12,2.9,162.2
1902,1,3.1,33.3
1902,2,3.2,131
1902,3,7.7,74.6
1902,4,12.1,158.9
1902,5,12.6,117.1
1902,6,17.5,177.2
1902,7,21.9,85
1902,8,20.1,251.4
1902,9,16.6,135.5
1902,10,10.6,162.7
1902,11,5.4,83.8
1902,12,3.4,62.2
1903,1,0.4,81.6
1903,2,4,27.8
1903,3,8.2,67.3
1903,4,9,147.6
1903,5,14.1,348.1
1903,6,16.7,233.4
1903,7,20.4,160.3
1903,8,20.6,131.5
1903,9,16.8,41.8
1903,10,12.1,281.6
1903,11,7.4,75.6
1903,12,3.2,150.9
1904,1,2.5,30.7
1904,2,3.7,119
1904,3,6.7,173.8
1904,4,12.2,67.8
1904,5,17,79.6
1904,6,19.8,234.9
1904,7,23,102
1904,8,21.3,66.4
1904,9,15.5,227.1
1904,10,12.4,38.9
1904,11,6.2,33.4
1904,12,2.7,55.1
1905,1,1,37.7
1905,2,2.9,45.6
1905,3,6.9,67.4
1905,4,10.7,198.4
1905,5,12.7,348.1
1905,6,18.2,197.9
1905,7,22.6,206.9
1905,8,19.6,384.4
1905,9,17.4,224.4
1905,10,8.5,18.6
1905,11,6.4,207.5
1905,12,3.6,8.8
1906,1,1.9,7.6
1906,2,2.8,73.6
1906,3,6.6,115.4
1906,4,9.6,171.5
1906,5,14.5,80.3
1906,6,19.5,54.8
1906,7,21.1,229.8
1906,8,21.5,76.5
1906,9,16.3,28.9
1906,10,13,157.3
1906,11,7.4,289.2
1906,12,3,3
1907,1,1.3,26.3
1907,2,2.2,24.9
1907,3,6.6,2.4
1907,4,9.7,107.2
1907,5,15,60.5
1907,6,19.1,113.8
1907,7,19.7,103.8
1907,8,21,90
1907,9,17.5,299.5
1907,10,12.9,429.9
1907,11,7.4,31.5
1907,12,4.2,108.8
1908,1,2.1,0.7
1908,2,5.1,10.9
1908,3,5.2,98.2
1908,4,9,103.4
1908,5,16.3,216.8
1908,6,19.3,175.3
1908,7,20.2,307.4
1908,8,19.6,154.1
1908,9,16,103.6
1908,10,12.3,101.5
1908,11,6,24.9
1908,12,3.2,25.1
